Name,Money,Image
Housing,1167,icons/house.svg
Food,169,icons/food.png
Transportation,225,icons/car.png
Healthcare,199,icons/healthcare.png
Miscellaneous,231,icons/misc.png
Taxes,550,icons/taxes.png
