Name,Money,Image
Housing,1458,icons/house.svg
Food,561,icons/food.svg
Transportation,416,icons/car.svg
Healthcare,767,icons/healthcare.svg
Miscellaneous,665,icons/misc.png
Taxes,1263,icons/taxes.png
Childcare,2184,icons/childcare.svg
