Name,Money,Image
Housing,689,icons/house.svg
Food,169,icons/food.png
Transportation,316,icons/car.png
Health Care,170,icons/healthcare.png
Miscellaneous,169,icons/misc.png
Taxes,343,icons/taxes.png
